"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","47","Week 47","Number","354476"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","48","Week 48","Number","364810"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","49","Week 49","Number","427251"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","50","Week 50","Number","451974"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","51","Week 51","Number","491375"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","52","Week 52","Number","376254"
"THA21C01","Average weekly volume of cars","2020","2020","10","Selected traffic sites - Dublin","53","Week 53","Number","235248"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","01","Week 01","Number","158687"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","02","Week 02","Number","175814"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","03","Week 03","Number","179424"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","04","Week 04","Number","187680"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","05","Week 05","Number","187774"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","06","Week 06","Number","183195"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","07","Week 07","Number","180801"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","08","Week 08","Number","195377"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","09","Week 09","Number","185090"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","10","Week 10","Number","190970"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","11","Week 11","Number","160181"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","12","Week 12","Number","101789"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","13","Week 13","Number","80749"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","14","Week 14","Number","47243"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","15","Week 15","Number","44648"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","16","Week 16","Number","43828"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","17","Week 17","Number","50869"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","18","Week 18","Number","52442"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","19","Week 19","Number","55070"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","20","Week 20","Number","65547"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","21","Week 21","Number","86890"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","22","Week 22","Number","92619"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","23","Week 23","Number","94805"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","24","Week 24","Number","118789"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","25","Week 25","Number","128712"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","26","Week 26","Number","135411"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","27","Week 27","Number","155568"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","28","Week 28","Number","162178"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","29","Week 29","Number","166790"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","30","Week 30","Number","169314"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","31","Week 31","Number","173011"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","32","Week 32","Number","172145"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","33","Week 33","Number","168549"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","34","Week 34","Number","165222"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","35","Week 35","Number","168301"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","36","Week 36","Number","165670"
