Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Brannockstown,Kildare,53.1226695,-6.693786599999999,8,4,2,10,254,10,288,0,Town (Small)
Bray,Wicklow,53.2006993,-6.110931900000001,4460,170,114,3360,22580,8834,39518,3,Town (Medium)
Bree,Wexford,52.43517689999999,-6.6087149,34,0,0,2,318,58,412,0,Town (Small)
Bridebridge,Cork,51.9271158,-8.4865968,24,2,4,0,204,28,262,0,Town (Small)
Bridge End,Donegal,55.0422391,-7.3821884,50,0,4,0,360,52,466,0,Town (Small)
Bridgetown,Wexford,52.2302422,-6.549064,80,0,0,0,446,92,618,0,Town (Small)
Brittas,Dublin,53.2288212,-6.4432551,26,0,2,4,168,2,202,0,Town (Small)
Broadford,Clare,52.8060302,-8.6328674,36,0,4,0,328,56,424,0,Town (Small)
Broadford,Limerick,52.34552859999999,-8.9752937,12,0,2,0,194,48,256,0,Town (Small)
Brosna,Kerry,52.3125648,-9.267679,16,0,0,0,130,14,160,0,Town (Small)
Bruff,Limerick,52.4755485,-8.5474034,106,0,8,4,756,172,1046,0,Town (Small)
Bruree,Limerick,52.4243025,-8.6606015,62,0,4,0,600,56,722,0,Town (Small)
Bun Na Leaca,Donegal,55.1297357,-8.2804066,148,0,0,0,422,26,596,0,Town (Small)
Bunclody,Wexford,52.6550857,-6.652193,52,2,4,12,1474,456,2000,0,Town (Small)
Buncrana,Donegal,55.1365797,-7.4560128,374,0,48,4,6672,1124,8222,0,Town (Small)
Bundoran,Donegal,54.4791416,-8.2779341,122,2,6,12,1906,720,2768,0,Town (Small)
Bunratty,Clare,52.6980379,-8.8148982,36,2,0,2,338,12,390,0,Town (Small)
Burnfoot,Donegal,55.0583056,-7.4049447,92,0,6,0,378,10,486,0,Town (Small)
Butlersbridge,Cavan,54.0452119,-7.3769588,20,0,4,0,260,46,330,0,Town (Small)
Buttevant,Cork,52.2321335,-8.670124699999999,52,2,2,8,836,208,1108,0,Town (Small)
Bweeng,Cork,52.0448011,-8.7231577,96,0,4,2,908,82,1092,0,Town (Small)
Béal An Mhuirthead,Mayo,54.2238996,-9.9876028,50,0,4,2,854,274,1184,0,Town (Small)
Béal Átha An Ghaorthaidh,Cork,51.8507469,-9.232640199999999,2,0,0,0,246,46,294,0,Town (Small)
Caherconlish,Limerick,52.5951658,-8.4723577,236,0,2,2,1498,180,1918,0,Town (Small)
Cahir,Tipperary,52.3745296,-7.925246899999999,308,2,12,20,2970,832,4144,0,Town (Small)
Cahirciveen,Kerry,51.9477992,-10.2209047,56,2,2,2,672,372,1106,0,Town (Small)
Callan,Kilkenny,52.544567,-7.390170899999999,182,4,6,8,2396,656,3252,0,Town (Small)
Calverstown,Kildare,53.0826121,-6.797989400000001,132,0,2,28,760,20,942,0,Town (Small)
Camolin,Wexford,52.6156787,-6.4263356,66,4,10,0,352,64,496,0,Town (Small)
Campile,Wexford,52.2881507,-6.9413872,114,0,2,0,262,12,390,0,Town (Small)
Cappamore,Limerick,52.6149925,-8.3377813,80,6,6,0,470,166,728,0,Town (Small)
Cappawhite,Tipperary,52.5822151,-8.164659000000002,36,0,0,4,334,78,452,0,Town (Small)
Cappoquin,Waterford,52.1462713,-7.842743799999999,116,0,4,0,566,162,848,0,Town (Small)
Carlanstown,Meath,53.7597065,-6.841353799999999,94,2,6,0,826,138,1066,0,Town (Small)
