,Town,Latitude,Longitude
406,"Bruree,Limerick,Ireland",52.4243025,-8.6606015
407,"Mungret,Limerick,Ireland",52.6356745,-8.693501999999999
408,"Patrickswell,Limerick,Ireland",52.5980577,-8.707284399999999
409,"Croom,Limerick,Ireland",52.519036,-8.7174345
410,"Clarina,Limerick,Ireland",52.63209,-8.73269
411,"Ballyagran,Limerick,Ireland",52.4018224,-8.782366699999999
412,"Adare,Limerick,Ireland",52.5636521,-8.7925281
413,"Kildimo,Limerick,Ireland",52.6237328,-8.8120969
414,"Ballingarry,Limerick,Ireland",52.4732187,-8.8627555
415,"Pallaskenry,Limerick,Ireland",52.6447411,-8.8674281
416,"Drumcollogher,Limerick,Ireland",52.3396079,-8.9076419
417,"Rathkeale,Limerick,Ireland",52.5225255,-8.9403655
418,"Askeaton,Limerick,Ireland",52.6005095,-8.975062
419,"Broadford,Limerick,Ireland",52.34552859999999,-8.9752937
420,"Newcastle West,Limerick,Ireland",52.4492389,-9.0499054
421,"Ardagh,Limerick,Ireland",52.4941478,-9.0637542
422,"Foynes,Limerick,Ireland",52.6102719,-9.104861699999999
423,"Shanagolden,Limerick,Ireland",52.5746155,-9.1004049
