Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
25/07/1984,0,0.626405384,0.619445324,0.619445324,1226400,0,0,1984,7,25,0.619445324,Up
26/07/1984,0,0.612485677,0.605525613,0.605525613,950000,0,0,1984,7,26,0.605525613,Up
27/07/1984,0,0.612485677,0.605525613,0.605525613,520000,0,0,1984,7,27,0.605525613,Up
30/07/1984,0,0.612485677,0.605525613,0.605525613,255200,0,0,1984,7,30,0.605525613,Up
31/07/1984,0,0.619445711,0.612485647,0.612485647,653200,0,0,1984,7,31,0.612485647,Up
01/08/1984,0,0.626405384,0.619445324,0.619445324,1328000,0,0,1984,8,1,0.619445324,Up
02/08/1984,0,0.647285908,0.640325844,0.640325844,1542400,0,0,1984,8,2,0.640325844,Up
03/08/1984,0,0.675126104,0.668166041,0.668166041,1720800,0,0,1984,8,3,0.668166041,Up
06/08/1984,0,0.661206036,0.654245973,0.654245973,2348400,0,0,1984,8,6,0.654245973,Up
07/08/1984,0,0.6681661,0.654245973,0.654245973,1349200,0,0,1984,8,7,0.654245973,Up
08/08/1984,0,0.66816607,0.661206007,0.661206007,1434400,0,0,1984,8,8,0.661206007,Up
09/08/1984,0,0.675126104,0.668166041,0.668166041,733600,0,0,1984,8,9,0.668166041,Up
10/08/1984,0,0.675126104,0.668166041,0.668166041,1953200,0,0,1984,8,10,0.668166041,Up
13/08/1984,0,0.682086199,0.675126135,0.675126135,674000,0,0,1984,8,13,0.675126135,Up
14/08/1984,0,0.682086199,0.675126135,0.675126135,1113200,0,0,1984,8,14,0.675126135,Up
15/08/1984,0,0.682086199,0.675126135,0.675126135,721200,0,0,1984,8,15,0.675126135,Up
16/08/1984,0,0.682086199,0.675126135,0.675126135,554400,0,0,1984,8,16,0.675126135,Up
17/08/1984,0,0.682086199,0.675126135,0.675126135,613200,0,0,1984,8,17,0.675126135,Up
20/08/1984,0,0.682086199,0.675126135,0.675126135,944400,0,0,1984,8,20,0.675126135,Up
21/08/1984,0,0.696006267,0.689046204,0.689046204,1200800,0,0,1984,8,21,0.689046204,Up
22/08/1984,0,0.696006267,0.689046204,0.689046204,2149600,0,0,1984,8,22,0.689046204,Up
23/08/1984,0,0.696006267,0.689046204,0.689046204,976800,0,0,1984,8,23,0.689046204,Up
24/08/1984,0,0.696006267,0.689046204,0.689046204,822400,0,0,1984,8,24,0.689046204,Up
27/08/1984,0,0.689046413,0.682086349,0.682086349,719200,0,0,1984,8,27,0.682086349,Up
28/08/1984,0,0.689046413,0.682086349,0.682086349,1910400,0,0,1984,8,28,0.682086349,Up
29/08/1984,0,0.696006267,0.689046204,0.689046204,2050800,0,0,1984,8,29,0.689046204,Up
30/08/1984,0,0.696006267,0.689046204,0.689046204,1145600,0,0,1984,8,30,0.689046204,Up
31/08/1984,0,0.702966542,0.696006477,0.696006477,1142000,0,0,1984,8,31,0.696006477,Up
04/09/1984,0,0.696006267,0.689046204,0.689046204,1714800,0,0,1984,9,4,0.689046204,Up
05/09/1984,0,0.696006267,0.689046204,0.689046204,1002000,0,0,1984,9,5,0.689046204,Up
06/09/1984,0,0.702966542,0.696006477,0.696006477,1359600,0,0,1984,9,6,0.696006477,Up
07/09/1984,0,0.696006267,0.689046204,0.689046204,1602800,0,0,1984,9,7,0.689046204,Up
10/09/1984,0,0.696006267,0.689046204,0.689046204,646400,0,0,1984,9,10,0.689046204,Up
11/09/1984,0,0.696006267,0.689046204,0.689046204,684400,0,0,1984,9,11,0.689046204,Up
12/09/1984,0,0.696006267,0.689046204,0.689046204,334800,0,0,1984,9,12,0.689046204,Up
13/09/1984,0,0.696006267,0.689046204,0.689046204,761200,0,0,1984,9,13,0.689046204,Up
14/09/1984,0,0.689046413,0.682086349,0.682086349,1136800,0,0,1984,9,14,0.682086349,Up
17/09/1984,0,0.675126104,0.668166041,0.668166041,1242000,0,0,1984,9,17,0.668166041,Up
18/09/1984,0,0.675126104,0.668166041,0.668166041,958800,0,0,1984,9,18,0.668166041,Up
19/09/1984,0,0.675126104,0.668166041,0.668166041,790800,0,0,1984,9,19,0.668166041,Up
20/09/1984,0,0.675126104,0.668166041,0.668166041,467600,0,0,1984,9,20,0.668166041,Up
21/09/1984,0,0.689046413,0.682086349,0.682086349,1955200,0,0,1984,9,21,0.682086349,Up
24/09/1984,0,0.682086199,0.675126135,0.675126135,495200,0,0,1984,9,24,0.675126135,Up
25/09/1984,0,0.675126104,0.668166041,0.668166041,779200,0,0,1984,9,25,0.668166041,Up
26/09/1984,0,0.682086199,0.675126135,0.675126135,700400,0,0,1984,9,26,0.675126135,Up
27/09/1984,0,0.682086199,0.675126135,0.675126135,456800,0,0,1984,9,27,0.675126135,Up
28/09/1984,0,0.66816607,0.661206007,0.661206007,530800,0,0,1984,9,28,0.661206007,Up
01/10/1984,0,0.66816607,0.661206007,0.661206007,482000,0,0,1984,10,1,0.661206007,Up
02/10/1984,0,0.675126104,0.668166041,0.668166041,669200,0,0,1984,10,2,0.668166041,Up
03/10/1984,0,0.66816607,0.661206007,0.661206007,1015200,0,0,1984,10,3,0.661206007,Up
04/10/1984,0,0.682086199,0.675126135,0.675126135,1138000,0,0,1984,10,4,0.675126135,Up
05/10/1984,0,0.682086199,0.675126135,0.675126135,1002400,0,0,1984,10,5,0.675126135,Up
08/10/1984,0,0.66816607,0.661206007,0.661206007,659200,0,0,1984,10,8,0.661206007,Up
09/10/1984,0,0.661206036,0.654245973,0.654245973,633200,0,0,1984,10,9,0.654245973,Up
10/10/1984,0,0.661206036,0.654245973,0.654245973,1720000,0,0,1984,10,10,0.654245973,Up
