Year,Month,TotalVolume,MaxHigh,MinLow,AvgClose
2019,11,55573800,37.37,35.6,36.31
1996,8,34806600,8.89,8.25,8.54
1999,8,11719400,18.11,15.69,17.1
2020,5,66261300,35.9,33.78,34.75
1997,4,15797000,12.32,10.91,11.47
2001,11,14220900,19.53,17.38,18.63
2008,2,56822900,20.39,17.68,19.42
2007,3,33686200,23.68,22.62,23.13
2010,1,41585000,20.62,18.62,19.72
2012,6,49661700,25.38,23.71,24.67
1983,9,28002400,0.7,0.63,0.66
1996,3,74757700,8.29,7.15,7.57
2006,11,32545100,22.67,21.29,21.8
2017,6,54288400,31.99,30.9,31.49
1982,8,1599200,0.38,0.34,0.36
2005,4,35671000,20.09,17.74,18.54
2022,4,92190300,43.43,40.19,42.14
1990,9,17258200,3.54,3.23,3.37
2021,4,118864900,33.61,31.25,32.49
1984,3,24594800,0.7,0.63,0.67
1991,10,62644400,7.08,5.89,6.31
1992,8,22821000,7.26,6.6,6.98
2017,1,70216000,27.9,26.96,27.39
1985,9,20139200,1.04,0.97,1.0
1998,10,10922300,20.37,15.96,18.68
2011,9,65058000,22.67,20.95,21.74
2022,12,130381000,37.83,32.6,33.87
1991,3,40765800,4.96,4.44,4.7
1992,11,36276600,6.73,6.12,6.4
1998,8,11426100,20.63,17.88,19.35
2004,5,20178000,16.61,15.85,16.23
1995,2,43190300,5.82,5.47,5.68
2014,7,87739000,33.09,29.0,31.52
2023,1,78806400,34.01,32.59,33.42
1991,4,55654000,5.13,4.53,4.83
2018,4,69281400,30.88,28.99,30.18
2022,8,186824700,39.38,30.6,34.0
1998,11,6241300,21.24,19.34,20.21
2016,3,71757900,27.66,26.13,26.98
1988,8,8455200,1.96,1.82,1.88
1996,1,17630600,8.58,7.85,8.09
2005,9,20374500,20.54,19.58,20.09
1981,3,477600,0.19,0.17,0.18
1992,9,33907800,7.68,6.6,7.25
1995,5,22663800,6.85,6.21,6.54
2009,8,22967700,19.13,17.82,18.42
1999,3,9463000,22.03,19.6,20.59
