"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","30","Rail","Number","908680"
"THA25C01","Passenger Journeys","2020W07","2020 Week 07","40","All public transport, excluding LUAS","Number","4736640"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","10","Dublin Metro Bus","Number","3046425"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","20","Bus, excluding Dublin Metro","Number","728267"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","30","Rail","Number","954421"
"THA25C01","Passenger Journeys","2020W08","2020 Week 08","40","All public transport, excluding LUAS","Number","4729113"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","10","Dublin Metro Bus","Number","3145979"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","20","Bus, excluding Dublin Metro","Number","738222"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","30","Rail","Number","946324"
"THA25C01","Passenger Journeys","2020W09","2020 Week 09","40","All public transport, excluding LUAS","Number","4830525"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","10","Dublin Metro Bus","Number","3103704"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","20","Bus, excluding Dublin Metro","Number","755581"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","30","Rail","Number","851347"
"THA25C01","Passenger Journeys","2020W10","2020 Week 10","40","All public transport, excluding LUAS","Number","4710632"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","10","Dublin Metro Bus","Number","2451496"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","20","Bus, excluding Dublin Metro","Number","585892"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","30","Rail","Number","907046"
"THA25C01","Passenger Journeys","2020W11","2020 Week 11","40","All public transport, excluding LUAS","Number","3944434"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","10","Dublin Metro Bus","Number","828756"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","20","Bus, excluding Dublin Metro","Number","189509"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","30","Rail","Number","627170"
"THA25C01","Passenger Journeys","2020W12","2020 Week 12","40","All public transport, excluding LUAS","Number","1645435"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","10","Dublin Metro Bus","Number","593463"
